Járás;Átlag;x;5;25;50;75;95
Szentendrei;1747;-6,6;1418;1663;1756;1850;2012
Szentesi;1644;-7,6;1347;1532;1644;1755;1936
Szentgotthárdi;1675;-14,1;1454;1536;1655;1792;1964
Szentlőrinci;1483;-14,8;1275;1390;1487;1580;1682
Szerencsi;1573;-10,4;1272;1497;1588;1665;1812
Szigetszentmiklósi;1691;-5,2;1400;1584;1695;1809;1967
Szigetvári;1506;-15,5;1191;1379;1505;1628;1808
Szikszói;1384;-10,9;1131;1215;1315;1530;1774
Szobi;1620;-19,1;1429;1519;1616;1723;1790
Szolnoki;1629;-4;1276;1480;1643;1777;1954
Szombathelyi;1701;-3,6;1392;1583;1698;1823;2005
Tabi;1500;-19,2;1225;1386;1509;1599;1785
Tamási;1579;-10,3;1263;1446;1600;1707;1856
Tapolcai;1610;-10,9;1317;1512;1606;1720;1854
Tatabányai;1653;-4,7;1331;1515;1661;1789;1952
Tatai;1677;-5,9;1380;1531;1674;1807;2018
Tiszafüredi;1516;-12,2;1234;1413;1502;1610;1825
Tiszakécskei;1586;-16,6;1291;1414;1593;1716;1968
Tiszaújvárosi;1563;-8,7;1228;1397;1568;1725;1921
Tiszavasvári;1509;-11;1176;1371;1507;1663;1807
Tokaji;1571;-7,7;1228;1478;1570;1684;1844
Tolnai;1713;-21,2;1374;1591;1731;1800;2013
Törökszentmiklósi;1457;-11;1180;1301;1444;1584;1798
Váci;1670;-4,3;1331;1539;1670;1806;1993
Várpalotai;1568;-10,6;1284;1451;1563;1692;1847
Vásárosnaményi;1539;-9,7;1242;1406;1518;1677;1830
Vecsési;1691;-12;1560;1627;1709;1741;1825
Veszprémi;1716;-3,9;1402;1596;1726;1840;2014
Záhonyi;1485;-18,6;1272;1423;1505;1568;1688
Zalaegerszegi;1692;-4,3;1394;1570;1697;1809;1980
Zalaszentgróti;1669;-30,9;1315;1559;1692;1800;1932
Zirci;1683;-11;1421;1618;1678;1781;1889
